"","country","year","sex","age","suicides_no","population"
"238","Albania",2008,"male","5-14 years",7,262464
"239","Albania",2008,"male","55-74 years",21,228672
"240","Albania",2008,"male","75+ years",2,44574
"241","Albania",2009,"female","15-24 years",0,270003
"242","Albania",2009,"female","25-34 years",0,182712
"243","Albania",2009,"female","35-54 years",0,394286
"244","Albania",2009,"female","5-14 years",0,236174
"245","Albania",2009,"female","55-74 years",0,233302
"246","Albania",2009,"female","75+ years",0,61582
"247","Albania",2009,"male","15-24 years",0,283448
"248","Albania",2009,"male","25-34 years",0,174955
"249","Albania",2009,"male","35-54 years",0,374365
"250","Albania",2009,"male","5-14 years",0,253007
"251","Albania",2009,"male","55-74 years",0,234570
"252","Albania",2009,"male","75+ years",0,47331
"253","Albania",2010,"female","15-24 years",6,263581
"254","Albania",2010,"female","25-34 years",6,183579
"255","Albania",2010,"female","35-54 years",12,394593
"256","Albania",2010,"female","5-14 years",2,223969
"257","Albania",2010,"female","55-74 years",7,241491
"258","Albania",2010,"female","75+ years",2,64415
"259","Albania",2010,"male","15-24 years",10,279508
"260","Albania",2010,"male","25-34 years",9,179720
"261","Albania",2010,"male","35-54 years",20,371611
"262","Albania",2010,"male","5-14 years",0,240939
"263","Albania",2010,"male","55-74 years",20,241852
"264","Albania",2010,"male","75+ years",2,50767
"265","Antigua and Barbuda",1983,"female","15-24 years",0,7882
"266","Antigua and Barbuda",1983,"female","25-34 years",0,6341
"267","Antigua and Barbuda",1983,"female","35-54 years",0,6284
"268","Antigua and Barbuda",1983,"female","5-14 years",0,8119
"269","Antigua and Barbuda",1983,"female","55-74 years",0,3729
"270","Antigua and Barbuda",1983,"female","75+ years",0,904
"271","Antigua and Barbuda",1983,"male","15-24 years",0,7932
"272","Antigua and Barbuda",1983,"male","25-34 years",0,6317
"273","Antigua and Barbuda",1983,"male","35-54 years",0,5929
"274","Antigua and Barbuda",1983,"male","5-14 years",0,8165
"275","Antigua and Barbuda",1983,"male","55-74 years",0,2700
"276","Antigua and Barbuda",1983,"male","75+ years",0,389
"277","Antigua and Barbuda",1985,"female","15-24 years",0,7709
"278","Antigua and Barbuda",1985,"female","25-34 years",0,6344
"279","Antigua and Barbuda",1985,"female","35-54 years",0,6173
"280","Antigua and Barbuda",1985,"female","5-14 years",0,7339
"281","Antigua and Barbuda",1985,"female","55-74 years",0,3778
"282","Antigua and Barbuda",1985,"female","75+ years",0,949
"283","Antigua and Barbuda",1985,"male","15-24 years",0,7667
"284","Antigua and Barbuda",1985,"male","25-34 years",0,6194
"285","Antigua and Barbuda",1985,"male","35-54 years",0,5970
"286","Antigua and Barbuda",1985,"male","5-14 years",0,7304
"287","Antigua and Barbuda",1985,"male","55-74 years",0,2723
"288","Antigua and Barbuda",1985,"male","75+ years",0,424
"289","Antigua and Barbuda",1986,"female","15-24 years",0,7668
"290","Antigua and Barbuda",1986,"female","25-34 years",0,6209
"291","Antigua and Barbuda",1986,"female","35-54 years",0,6101
